group,names,scores,logfoldchanges,pvals,pvals_adj
0,LAMP3,0.29372612,,0.7689671914440137,0.9991286898850529
0,SMC2,0.29165703,,0.7705488729034196,0.9991286898850529
0,DSCR3,0.29122597,,0.7708785102564965,0.9991286898850529
0,C17orf59,0.28677166,,0.7742871759545722,0.9991286898850529
0,MGA,0.2851911,,0.7754977529939524,0.9991286898850529
0,RNF168,0.28240353,,0.7776340990986026,0.9991286898850529
0,TASP1,0.280823,,0.7788461777668442,0.9991286898850529
0,CLEC2B,0.279616,,0.779772127619067,0.9991286898850529
0,YEATS2,0.27898377,,0.7802572737860208,0.9991286898850529
0,CLSTN3,0.27858144,,0.7805660477333761,0.9991286898850529
0,ZNF626,0.27843776,,0.7806763325330286,0.9991286898850529
0,CROT,0.27748942,,0.7814043227745555,0.9991286898850529
0,RP11-819C21.1,0.27559274,,0.7828608774486489,0.9991286898850529
0,AIM1L,0.27369606,,0.7843181936774052,0.9991286898850529
0,PPIL2,0.2716557,,0.7858867573824709,0.9991286898850529
0,ZNF561,0.266914,,0.7895353596480291,0.9991286898850529
0,CORO1A,0.26435637,,0.7915053168231709,0.9991286898850529
0,RP5-1028K7.2,0.26133895,,0.793831135899389,0.9991286898850529
0,SLC20A2,0.2597871,,0.7950279871189065,0.9991286898850529
0,INO80D,0.25958595,,0.7951831698907867,0.9991286898850529
0,ZNF473,0.2557064,,0.7981775586854829,0.9991286898850529
0,ANKEF1,0.25461435,,0.7990209615188665,0.9991286898850529
0,FAM161A,0.25352234,,0.7998645988890942,0.9991286898850529
0,ZNF350,0.25346488,,0.7999090073349804,0.9991286898850529
0,BTN3A1,0.24898182,,0.8033748484787986,0.9991286898850529
0,TADA2A,0.24320558,,0.8078461488051847,0.9991286898850529
0,ACOT13,0.24231471,,0.8085363153426466,0.9991286898850529
0,SLC25A3,0.2419986,,0.8087812489891592,0.9991286898850529
0,NAALADL1,0.23998697,,0.8103403557063541,0.9991286898850529
0,TSC22D2,0.23915358,,0.8109864922444094,0.9991286898850529
0,ZNHIT6,0.23895243,,0.8111424755483363,0.9991286898850529
0,PGM1,0.23803282,,0.8118556374754513,0.9991286898850529
0,SARM1,0.23719944,,0.8125020753430328,0.9991286898850529
0,RGS16,0.23659594,,0.8129702653272954,0.9991286898850529
0,SLC35G1,0.23636605,,0.813148641010516,0.9991286898850529
0,RP11-5C23.1,0.23570508,,0.8136615250634984,0.9991286898850529
0,RP3-325F22.5,0.2355614,,0.8137730321781109,0.9991286898850529
0,LINC00843,0.23553266,,0.8137953340540156,0.9991286898850529
0,USP3-AS1,0.23444064,,0.8146429170359227,0.9991286898850529
0,MARS2,0.23444064,,0.8146429170359227,0.9991286898850529
0,RP11-266J6.2,0.23334861,,0.8154907170396715,0.9991286898850529
0,VAMP8,0.23162435,,0.8168297881618011,0.9991286898850529
0,FEM1A,0.23122203,,0.8171423151954526,0.9991286898850529
0,RP11-421L21.3,0.22340542,,0.8232199803675118,0.9991286898850529
0,SUV420H2,0.22334795,,0.8232647088550973,0.9991286898850529
0,GOLGB1,0.22317553,,0.8233988977623734,0.9991286898850529
0,TMEM140,0.22297436,,0.8235554580137705,0.9991286898850529
0,TSPAN15,0.21857752,,0.8269791615291227,0.9991286898850529
0,POU5F2,0.21800278,,0.8274269491067111,0.9991286898850529
0,RTKN2,0.21794531,,0.8274717309528461,0.9991286898850529
0,C6orf57,0.2174855,,0.8278300059046256,0.9991286898850529
0,FAM229B,0.21716939,,0.8280763407220948,0.9991286898850529
0,DMTN,0.21708317,,0.8281435258810751,0.9991286898850529
0,ACVR2A,0.21535893,,0.8294874924819808,0.9991286898850529
0,RP4-583P15.10,0.21535893,,0.8294874924819808,0.9991286898850529
0,RP11-178G16.4,0.21535893,,0.8294874924819808,0.9991286898850529
0,RP11-176H8.1,0.21535893,,0.8294874924819808,0.9991286898850529
0,GPR63,0.2142669,,0.8303389297423924,0.9991286898850529
0,EFHD1,0.2142669,,0.8303389297423924,0.9991286898850529
0,ZNF493,0.2073699,,0.8357209916201573,0.9991286898850529
0,ZMAT3,0.20587555,,0.8368881287743337,0.9991286898850529
0,TTN-AS1,0.2023121,,0.8396727465870859,0.9991286898850529
0,DTX3,0.20050164,,0.8410882835691081,0.9991286898850529
0,PLD6,0.20012805,,0.8413804426151978,0.9991286898850529
0,AC132872.2,0.1988636,,0.8423694504729422,0.9991286898850529
0,FLJ00104,0.19880612,,0.8424144112967294,0.9991286898850529
0,RP11-367G6.3,0.19863369,,0.8425492968499767,0.9991286898850529
0,CTD-2162K18.5,0.19811642,,0.8429539812133033,0.9991286898850529
0,SERPINE2,0.19797273,,0.8430664009013326,0.9991286898850529
0,ZNF175,0.19736925,,0.8435385984868067,0.9991286898850529
0,SARDH,0.1973405,,0.8435610854904043,0.9991286898850529
0,RP11-111M22.2,0.19642091,,0.84428073684179,0.9991286898850529
0,ANKS1B,0.19518518,,0.8452479729538124,0.9991286898850529
0,CTC-273B12.10,0.19518518,,0.8452479729538124,0.9991286898850529
0,RP11-504P24.8,0.19518518,,0.8452479729538124,0.9991286898850529
0,EXOC6,0.18823071,,0.8506957984312822,0.9991286898850529
0,PXMP4,0.18777092,,0.8510562395310044,0.9991286898850529
0,PDE6B,0.1849259,,0.8532871580194915,0.9991286898850529
0,RAD51B,0.18486843,,0.8533322392370553,0.9991286898850529
